Metric​,Annual​,Feb​,Mar​,Apr​,May​,Jun​,Jul​,Aug​,Sep​,Oct​,Nov​,Dec​,Jan​,YTD Actual​,YTD Progress
Organic ER Plan​,3.5%​,2%​,2%​,2.5%​,3%​,3.5%​,3.5%​,3.5%​,3.5%​,3.5%​,3.5%​,3.5%​,3.5%​,​,​
Organic ER Actual​,​,2.66%​,2.18%​,2.02%​,2.72%​,"2.09%​
B: 2.80%​","3.28%​
B:3.93%​","2.09% ​
B:0.68%​","2.73%​
B:1.57%​","2.74%​
B: 4.45%​","3.43%​
B: 2.50%​","2.97%​
B: 1.88%​","5.06%​
B: 3.77%​","2.51%​
B: 2.29%​",72%​
IG Actual​,​,1.81%​,1.66%​,1.96%​,2.39%​,"1.58%​
B:4.33%​","1.34%​
B1.08%​","1.64%​
B:0.70%​","2.47%​
B:2.39%​","2.44%​
B: 5.99%​","3.26%​
B: 2.97%​","2.83%​
B: 2.57%​","5.11%​
B: 7.25%​",​,​
Tik Tok Actual​,​,3.44%​,2.70%​,2.07%​,3.04%​,"3.70%​
B:0.68%​","11.8%​
B:6.41%​","4.55%​
B:0.62%​","6.30%​
B:0.87%​","5.63%​
B: 2.42%​","6.50%​
B: 1.56%​","5.29%​
B: 0.75%​","4.42%​
B: 1.71%​",​,​
Average Engagements ​,​,96​,129​,140​,121​,463​,755​,138​,272​,504​,390​,434​,781​,​,​
"Paid/Boosted ER​
(Opt-In and Spark Squad)​","1.75%​
1.35%​",1%​,1%​,1%​,1.35%​,1.35%​,1.35%​,"1.45%​
1.35%​","1.50%​
1.35%​","1.50%​
1.35%​","1.60%​
1.35%​","1.70%​
1.35%​","1.75%​
1.35%​",​,​
Paid/ Boosted ER (Opt-In and Spark Squad)​,"1.75%​
1.35%​",0.17%​,0.10%​,0.13%​,0.25%​,0.98%​,2.82%​,1.13%​,0.53%​,0.60%​,0.11%​,0.07%​,0.11%​,0.39%​,28%​
Organic ER (Spark Squad Only)​,N/A​,N/A​,1.87%​,1.37%​,3.99%​,4.49%​,2.74%​,5.83%​,3.40%​,4.47%​,5.98%​,2.95%​,1.33%​,N/A​,N/A​